유형,법정동,중학생,고등학생,잠정고객수,학원수,아파트세대수
메가타겟,경기 오산시 신장1동 행정복지센터,8035,6724,738,74,38054
메가타겟,광주 북구 동림동 행정복지센터,7946,6795,737,305,97073
메가타겟,부산 동구 범일2동 행정복지센터,6006,8632,732,232,79490
메가타겟,광주 북구 운암1동 행정복지센터,6509,8090,730,225,76121
메가타겟,인천 중구 율목동 행정복지센터,6310,8183,725,126,47065
메가타겟,전북 전주시 완산구 효자1동 주민센터,6750,7546,715,391,82803
메가타겟,경기 수원시 권선구 세류3동 행정복지센터,5744,8426,708,192,72068
메가타겟,인천 동구 금창동 행정복지센터,6310,7784,705,126,47065
메가타겟,인천 연수구 선학동 행정복지센터,8072,6025,705,164,30228
메가타겟,부산 금정구 금사회동동 행정복지센터,5502,8518,701,399,76272
메가타겟,경기 부천시 오정구 성곡동 행정복지센터,6961,7032,700,375,21804
메가타겟,경기 수원시 권선구 권선1동 행정복지센터,6866,7136,700,148,54745
세대밀집,인천 연수구 옥련1동 행정복지센터,9007,10912,996,91,52518
세대밀집,인천 연수구 청학동 행정복지센터,7556,7685,762,92,54878
세대밀집,인천 연수구 옥련2동 행정복지센터,7556,7511,753,89,52518
세대밀집,충남 천안시 동남구 원성2동 행정복지센터,6472,7087,678,98,54905
세대밀집,충남 천안시 동남구 신안동 행정복지센터,5623,7853,674,70,64824
세대밀집,인천 서구 마전동 행정복지센터,7210,5750,648,84,61472
세대밀집,경기 안양시 만안구 석수1동 행정복지센터,4013,8608,631,93,65787
세대밀집,경기 안양시 만안구 충훈동 행정복지센터,4591,7473,603,93,51131
세대밀집,경기 안양시 만안구 석수2동 행정복지센터,3799,7304,555,93,65787
세대밀집,경기 김포시 장기본동 행정복지센터,5809,4435,512,97,52712
초희소형,인천 서구 당하동 행정복지센터,6841,5750,630,47,38605
초희소형,경기 안성시 안성1동 행정복지센터,2595,3463,303,44,20683
